,countryNames,female,male,no_info,total,10-20,20-30,30-40,40-50,50-above,unknown
0,Afghanistan,0,0,1,1,0,0,0,0,0,1
1,Algeria,2,12,19,33,0,8,7,0,0,18
2,Angola,1,3,2,6,0,1,3,0,0,2
3,Argentina,0,2,9,11,0,1,0,1,0,9
4,Armenia,0,0,2,2,0,0,0,0,0,2
5,Australia,0,0,3,3,0,0,0,0,0,3
6,Austria,1,7,6,14,0,1,3,0,0,10
7,Azerbaijan,13,143,308,464,35,63,35,4,1,326
8,Bahrain,0,0,1,1,0,0,0,0,0,1
9,Bangladesh,3,10,57,70,2,4,4,2,0,58
10,Belarus,0,7,5,12,0,5,1,0,0,6
11,Belgium,2,8,14,24,1,3,4,0,0,16
12,Benin,0,4,3,7,0,1,1,1,0,4
13,Bosnia and Herzegovina,0,2,4,6,0,2,0,0,0,4
14,Botswana,0,1,0,1,0,0,0,0,1,0
15,Brazil,4,7,26,37,0,4,4,0,1,28
16,Bulgaria,2,7,6,15,1,5,1,1,0,7
17,Burkina Faso,0,1,1,2,0,1,0,0,0,1
18,Burundi,0,0,1,1,0,0,0,0,0,1
19,Cameroon,1,3,3,7,0,3,1,0,0,3
20,Canada,1,4,9,14,0,1,5,0,0,8
21,Chile,0,0,4,4,0,0,0,0,0,4
22,China,2,3,289,294,1,0,2,0,1,290
23,Colombia,0,0,14,14,0,0,0,0,0,14
24,Costa Rica,0,0,1,1,0,0,0,0,0,1
25,Croatia,0,3,2,5,0,1,1,0,0,3
26,Cuba,0,0,1,1,0,0,0,0,0,1
27,Cyprus,4,48,60,112,1,15,13,8,2,73
28,Czechia,1,3,2,6,0,0,1,0,0,5
29,Côte d'Ivoire,1,0,6,7,0,1,0,0,0,6
30,Denmark,1,9,2,12,1,2,4,2,1,2
31,Dominican Republic,0,0,1,1,0,0,0,0,0,1
32,Ecuador,0,1,2,3,0,0,0,1,0,2
33,Egypt,1,11,17,29,2,4,6,0,0,17
34,El Salvador,0,0,1,1,0,0,0,0,0,1
35,Eritrea,0,4,0,4,0,1,0,2,1,0
36,Estonia,1,4,1,6,0,0,2,2,1,1
37,Eswatini,0,0,1,1,0,0,0,0,0,1
38,Ethiopia,0,9,2,11,0,4,1,4,0,2
39,Finland,1,6,1,8,0,1,4,1,0,2
40,France,0,8,13,21,0,2,4,0,0,15
41,Gabon,0,2,1,3,0,0,2,0,0,1
42,Georgia,0,11,10,21,2,5,4,1,0,9
43,Germany,1,19,24,44,0,4,6,4,1,29
44,Ghana,0,1,8,9,0,0,1,0,0,8
45,Greece,0,0,7,7,0,0,0,0,0,7
46,Guatemala,0,0,2,2,0,0,0,0,0,2
47,Honduras,0,0,1,1,0,0,0,0,0,1
48,Hungary,0,3,1,4,0,1,0,1,1,1
49,India,2,21,99,122,3,13,9,1,0,96
50,Indonesia,5,59,100,164,1,26,31,6,0,100
51,Iran,16,55,33,104,2,22,30,6,6,38
52,Iraq,66,307,38,411,53,167,108,29,5,49
53,Ireland,0,1,1,2,0,0,1,0,0,1
54,Israel,1,1,2,4,2,0,0,0,0,2
55,Italy,0,1,7,8,0,0,0,0,1,7
56,Japan,0,1,1,2,0,0,1,0,0,1
57,Jordan,85,274,15,374,58,194,61,30,8,23
58,Kazakhstan,2,5,3,10,0,2,1,1,2,4
59,Kenya,2,7,5,14,1,2,3,3,0,5
60,Kosovo,0,2,2,4,0,0,0,0,0,4
61,Kuwait,0,0,3,3,0,0,0,0,0,3
62,Kyrgyzstan,0,1,0,1,0,0,1,0,0,0
63,Lebanon,2,5,0,7,0,3,3,1,0,0
64,Libya,0,4,4,8,0,0,2,1,0,5
65,Lithuania,0,4,3,7,0,3,1,0,0,3
66,Luxembourg,0,0,1,1,0,0,0,0,0,1
67,Madagascar,2,1,1,4,0,1,1,1,0,1
68,Malawi,0,0,1,1,0,0,0,0,0,1
69,Malaysia,0,4,4,8,0,1,2,0,0,5
70,Maldives,0,0,2,2,0,0,0,0,0,2
71,Mali,0,0,1,1,0,0,0,0,0,1
72,Malta,0,0,1,1,0,0,0,0,0,1
73,Mauritius,0,0,1,1,0,0,0,0,0,1
74,Mexico,2,1,16,19,0,1,2,0,0,16
75,Moldova,0,1,3,4,0,1,0,0,0,3
76,Mongolia,0,0,4,4,0,0,0,0,0,4
77,Morocco,2,3,22,27,0,2,0,1,0,24
78,Mozambique,0,0,1,1,0,0,0,0,0,1
79,Myanmar,1,1,9,11,0,2,0,0,0,9
80,Namibia,0,1,1,2,0,0,0,1,0,1
81,Nepal,0,0,15,15,0,1,0,0,0,14
82,Netherlands,1,10,59,70,0,1,5,2,0,62
83,Nicaragua,0,0,1,1,0,0,0,0,0,1
84,Nigeria,22,107,480,609,9,94,32,10,1,463
85,North Macedonia,0,4,2,6,0,3,0,0,0,3
86,Norway,9,44,18,71,0,34,11,3,0,23
87,Oman,1,3,3,7,0,0,1,3,0,3
88,Pakistan,2,13,48,63,2,8,5,0,0,48
89,Palestinian Territory,0,1,0,1,0,1,0,0,0,0
90,Peru,0,1,7,8,0,1,0,0,0,7
91,Philippines,3,5,34,42,0,3,5,1,0,33
92,Poland,2,6,18,26,1,3,1,1,0,20
93,Qatar,0,2,0,2,0,0,1,0,0,1
94,Romania,2,12,1,15,0,4,7,0,1,3
95,Russia,24,115,46,185,14,64,33,13,7,54
96,Saudi Arabia,330,1437,89,1856,295,770,481,153,29,128
97,Serbia,0,1,2,3,0,1,0,0,0,2
98,Singapore,0,1,3,4,0,0,0,1,0,3
99,Slovenia,0,0,1,1,0,0,0,0,0,1
100,Somaliland,3,21,2,26,1,6,11,4,1,3
101,South Africa,1,1,10,12,0,0,2,1,0,9
102,South Korea,0,3,4,7,0,0,0,1,1,5
103,South Sudan,0,2,0,2,0,1,1,0,0,0
104,Spain,1,12,10,23,1,4,6,3,0,9
105,Sri Lanka,0,0,37,37,1,0,0,0,0,36
106,Sudan,0,3,2,5,0,1,1,1,0,2
107,Sweden,11,37,4,52,1,26,12,5,2,6
108,Switzerland,0,2,2,4,0,0,2,0,0,2
109,Syria,90,347,30,467,85,222,81,25,3,51
110,Taiwan,0,0,1,1,0,0,0,0,0,1
111,Tajikistan,0,1,0,1,0,1,0,0,0,0
112,Tanzania,1,9,10,20,0,5,4,1,1,9
113,Thailand,0,3,8,11,0,1,0,2,0,8
114,The Bahamas,0,0,1,1,0,0,0,0,0,1
115,Togo,0,0,1,1,0,0,0,0,0,1
116,Tunisia,0,2,5,7,0,0,1,1,0,5
117,Turkey,2817,15664,31642,50123,1787,6077,4046,1397,197,36619
118,Turkmenistan,1,5,13,19,0,3,2,1,0,13
119,Uganda,0,1,0,1,0,0,1,0,0,0
120,Ukraine,10,36,18,64,2,15,13,5,7,22
121,United Arab Emirates,0,3,6,9,1,1,1,1,0,5
122,United Kingdom,14,31,8,53,2,19,14,1,0,17
123,United States,4,15,22,41,1,7,2,8,1,22
124,Uruguay,0,0,1,1,0,0,0,0,0,1
125,Uzbekistan,0,1,1,2,0,0,0,0,0,2
126,Venezuela,0,4,42,46,0,2,1,0,0,43
127,Vietnam,5,17,33,55,1,8,10,2,0,34
128,Yemen,0,22,5,27,1,4,10,5,1,6
129,Zambia,1,3,1,5,0,1,1,0,0,3
130,Zimbabwe,1,2,5,8,0,1,2,0,0,5
131,bad lat/long,963,4127,883,5973,317,2558,1112,247,51,1688
132,unknown,1990,9241,39484,50715,1040,3877,2203,632,96,42867
